,ChemicalName,Chemical_Description,Web_Link
13,Aspirin,"For a small number of people, taking aspirin can result in symptoms resembling an allergic reaction, including hives, swelling, and headache. The reaction is caused by salicylate intolerance and is not a true allergy, but rather an inability to metabolize even small amounts of aspirin, resulting in an overdose. Aspirin and other NSAIDs, such as ibuprofen, may delay the healing of skin wounds.",https://en.wikipedia.org/wiki/Aspirin
14,Avobenzone,"Although avobenzone is considered safe, disintegration products may have significant health impacts and persist in the environment. A recent study at Lomonosov Moscow State University found that chlorinated water and ultraviolet light can cause avobenzone to disintegrate into various other organic compounds, including; aromatic acids, aldehydes, phenols, and acetophenones which may have adverse health effects.",https://en.wikipedia.org/wiki/Avobenzone
15,Benz[a]anthracene,Benz[a]anthracene is a carcinogenic constituent of tobacco smoke.,https://en.wikipedia.org/wiki/Benz(a)anthracene
16,Benzene,"Benzene is a natural constituent of crude oil and is one of the elementary petrochemicals. Due to the cyclic continuous pi bond between the carbon atoms, benzene is classed as an aromatic hydrocarbon, the second [n]-annulene ([6]-annulene). It is sometimes abbreviated PhH. Benzene is a colorless and highly flammable liquid with a sweet smell, and is responsible for the aroma around petrol (gas) stations. It is used primarily as a precursor to the manufacture of chemicals with more complex structure, such as ethylbenzene and cumene, of which billions of kilograms are produced annually. As benzene has a high octane number, aromatic derivatives like toluene and xylene typically comprise up to 25% of gasoline (petrol). Benzene itself has been limited to less than 1% in gasoline because it is a known human carcinogen. Most non-industrial applications have been limited as well for the same reason.",https://en.wikipedia.org/wiki/Benzene
17,Benzo[a]pyrene,"BaP's metabolites are mutagenic and highly carcinogenic, and it is listed as a Group 1 carcinogen by the IARC. In June 2016, BaP was added as benzo[def]chrysene to the REACH Candidate List of Substances of very high concern for Authorisation.
Numerous studies since the 1970s have documented links between BaP and cancers. It has been more difficult to link cancers to specific BaP sources, especially in humans, and difficult to quantify risks posed by various methods of exposure (inhalation or ingestion). A link between vitamin A deficiency and emphysema in smokers was described in 2005 to be due to BaP, which induces vitamin A deficiency in rats. A 1996 study provided molecular evidence linking components in tobacco smoke to lung cancer. BaP was shown to cause genetic damage in lung cells that was identical to the damage observed in the DNA of most malignant lung tumours.",https://en.wikipedia.org/wiki/Benzo(a)pyrene
18,Benzophenone,"The U.S. Food and Drug Administration (FDA) has approved benzophenone-3 (BP3), also known as oxybenzone, as an active ingredient in sunscreen. In addition, a Cosmetic Ingredient Review (CIR) expert scientific panel states that benzophenone and its derivatives (benzophenone-1, -3, -4, -5, -9 and -11) are safe as typically used in cosmetics and personal care products. 
However, HawaiiÍs legislature recently acted on some research reports claiming that the sunscreen ingredient oxybenzone may have negative effects on coral reefs and other marine species under certain circumstances. The potential ban is somewhat controversial, as many other scientific and medical experts claim the research is very limited as to the negative effects of these ingredients on coral reefs. Others claim that some of the research cited was inconclusive and based on a limited body of scientific evidence. Another recent report from the International Coral Reef Initiative concluded that further research is needed to better understand if sunscreen ingredients pose a realistic threat to marine ecosystems.",https://www.chemicalsafetyfacts.org/benzophenone/#safety-information
19,Benzophenone-2,"The U.S. Food and Drug Administration (FDA) has approved benzophenone-3 (BP3), also known as oxybenzone, as an active ingredient in sunscreen. In addition, a Cosmetic Ingredient Review (CIR) expert scientific panel states that benzophenone and its derivatives (benzophenone-1, -3, -4, -5, -9 and -11) are safe as typically used in cosmetics and personal care products. 
However, HawaiiÍs legislature recently acted on some research reports claiming that the sunscreen ingredient oxybenzone may have negative effects on coral reefs and other marine species under certain circumstances. The potential ban is somewhat controversial, as many other scientific and medical experts claim the research is very limited as to the negative effects of these ingredients on coral reefs. Others claim that some of the research cited was inconclusive and based on a limited body of scientific evidence. Another recent report from the International Coral Reef Initiative concluded that further research is needed to better understand if sunscreen ingredients pose a realistic threat to marine ecosystems.",https://www.chemicalsafetyfacts.org/benzophenone/#safety-information
20,Benzophenone-3,"The U.S. Food and Drug Administration (FDA) has approved benzophenone-3 (BP3), also known as oxybenzone, as an active ingredient in sunscreen. In addition, a Cosmetic Ingredient Review (CIR) expert scientific panel states that benzophenone and its derivatives (benzophenone-1, -3, -4, -5, -9 and -11) are safe as typically used in cosmetics and personal care products. 
However, HawaiiÍs legislature recently acted on some research reports claiming that the sunscreen ingredient oxybenzone may have negative effects on coral reefs and other marine species under certain circumstances. The potential ban is somewhat controversial, as many other scientific and medical experts claim the research is very limited as to the negative effects of these ingredients on coral reefs. Others claim that some of the research cited was inconclusive and based on a limited body of scientific evidence. Another recent report from the International Coral Reef Initiative concluded that further research is needed to better understand if sunscreen ingredients pose a realistic threat to marine ecosystems.",https://www.chemicalsafetyfacts.org/benzophenone/#safety-information
21,Benzophenone-4,"The U.S. Food and Drug Administration (FDA) has approved benzophenone-3 (BP3), also known as oxybenzone, as an active ingredient in sunscreen. In addition, a Cosmetic Ingredient Review (CIR) expert scientific panel states that benzophenone and its derivatives (benzophenone-1, -3, -4, -5, -9 and -11) are safe as typically used in cosmetics and personal care products. 
However, HawaiiÍs legislature recently acted on some research reports claiming that the sunscreen ingredient oxybenzone may have negative effects on coral reefs and other marine species under certain circumstances. The potential ban is somewhat controversial, as many other scientific and medical experts claim the research is very limited as to the negative effects of these ingredients on coral reefs. Others claim that some of the research cited was inconclusive and based on a limited body of scientific evidence. Another recent report from the International Coral Reef Initiative concluded that further research is needed to better understand if sunscreen ingredients pose a realistic threat to marine ecosystems.",https://www.chemicalsafetyfacts.org/benzophenone/#safety-information
22,Benzyl chloride,"Benzyl chloride is an alkylating agent. Indicative of its high reactivity (relative to alkyl chlorides), benzyl chloride reacts with water in a hydrolysis reaction to form benzyl alcohol and hydrochloric acid. In contact with mucous membranes, hydrolysis produces hydrochloric acid. Thus, benzyl chloride is a lachrymator and has been used in chemical warfare. It is also very irritating to the skin. It is classified as an extremely hazardous substance in the United States as defined in Section 302 of the U.S. Emergency Planning and Community Right-to-Know Act (42 U.S.C. 11002), and is subject to strict reporting requirements by facilities which produce, store, or use it in significant quantities.",https://en.wikipedia.org/wiki/Benzyl_chloride#Safety
23,Butylated hydroxyanisole,"The U.S. National Institutes of Health report that BHA is reasonably anticipated to be a human carcinogen based on evidence of carcinogenicity in experimental animals. In particular, when administered in high doses as part of their diet, BHA causes papillomas and squamous cell carcinomas of the forestomach in rats and Syrian golden hamsters. In mice, there is no carcinogenic effect; in fact, there is evidence of a protective effect against the carcinogenicity of other chemicals. When examining human population statistics, the usual low intake levels of BHA show no significant association with an increased risk of cancer. The state of California has, however, listed BHA as a carcinogen.",https://en.wikipedia.org/wiki/Butylated_hydroxyanisole
24,C.I. Acid Red 114,"C.I. ACID RED 114 is an azo compound. Toxic gases are formed by mixing compounds containing azo groups with acids, aldehydes, amides, carbamates, cyanides, inorganic fluorides, halogenated organics, isocyanates, ketones, metals, nitrides, peroxides, phenols, epoxides, acyl halides, and strong oxidizing or reducing agents. Flammable gases are formed by mixing materials in this group with alkali metals. Explosive combination can occur with strong oxidizing agents, metal salts, peroxides, and sulfides.",https://cameochemicals.noaa.gov/chemical/18069
25,Cadmium and cadmium compounds,"Occupational exposure to cadmium compounds (oxide, sulfide, and sulfate) was investigated in male production workers (n = 571) from a cadmium recovery facility in the USA during 1940_82. Estimates of airborne cadmium exposures in the production departments ranged from 0.2 (in the tankhouse) to 1.5 mg/m3 (in the mixing, calcine and retort departments) before 1950, and from 0.02 (in the tankhouse) to 0.6 mg/m3 (in the sampling and roaster departments) for the 1965_76 time period.",https://www.ncbi.nlm.nih.gov/books/NBK304372/
26,Caffeic acid,"Studies of the carcinogenicity of caffeic acid have mixed results. Some studies have shown that it inhibits carcinogenesis, and other experiments show carcinogenic effects. Oral administration of high doses of caffeic acid in rats has caused stomach papillomas.[20] In the same study, high doses of combined antioxidants, including caffeic acid, showed a significant decrease in growth of colon tumors in those same rats. No significant effect was noted otherwise. Caffeic acid is listed under some Hazard Data sheets as a potential carcinogen, as has been listed by the International Agency for Research on Cancer as a Group 2B carcinogen (""possibly carcinogenic to humans""). More recent data show that bacteria in the rats' guts may alter the formation of metabolites of caffeic acid.",https://en.wikipedia.org/wiki/Caffeic_acid
27,Caffeine,"Caffeine is classified by the US Food and Drug Administration as generally recognized as safe (GRAS). Toxic doses, over 10 grams per day for an adult, are much higher than the typical dose of under 500 milligrams per day. A cup of coffee contains 80_175 mg of caffeine, depending on what ""bean"" (seed) is used and how it is prepared (e.g., drip, percolation, or espresso). Thus it requires roughly 50_100 ordinary cups of coffee to reach the toxic dose. However, pure powdered caffeine, which is available as a dietary supplement, can be lethal in tablespoon-sized amounts.",https://en.wikipedia.org/wiki/Caffeine
28,Carbon black,"Carbon black is considered possibly carcinogenic to humans and classified as a Group 2B carcinogen because there is sufficient evidence in experimental animals with inadequate evidence in human epidemiological studies. The evidence of carcinogenicity in animal studies comes from two chronic inhalation studies and two intratracheal instillation studies in rats, which showed significantly elevated rates of lung cancer in exposed animals. An inhalation study on mice did not show significantly elevated rates of lung cancer in exposed animals. Epidemiologic data comes from three cohort studies of carbon black production workers. Two studies, from the United Kingdom and Germany, with over 1,000 workers in each study group showed elevated mortality from lung cancer. A third study of over 5,000 carbon black workers in the United States did not show elevated mortality. Newer findings of increased lung cancer mortality in an update from the UK study suggest that carbon black could be a late-stage carcinogen. However, a more recent and larger study from Germany did not confirm this hypothesis.",https://en.wikipedia.org/wiki/Carbon_black#Safety
29,"Carbon black (airborne, unbound particles of respirable size)","Carbon black is considered possibly carcinogenic to humans and classified as a Group 2B carcinogen because there is sufficient evidence in experimental animals with inadequate evidence in human epidemiological studies. The evidence of carcinogenicity in animal studies comes from two chronic inhalation studies and two intratracheal instillation studies in rats, which showed significantly elevated rates of lung cancer in exposed animals. An inhalation study on mice did not show significantly elevated rates of lung cancer in exposed animals. Epidemiologic data comes from three cohort studies of carbon black production workers. Two studies, from the United Kingdom and Germany, with over 1,000 workers in each study group showed elevated mortality from lung cancer. A third study of over 5,000 carbon black workers in the United States did not show elevated mortality. Newer findings of increased lung cancer mortality in an update from the UK study suggest that carbon black could be a late-stage carcinogen. However, a more recent and larger study from Germany did not confirm this hypothesis.",https://en.wikipedia.org/wiki/Carbon_black#Safety
30,Carbon-black extracts,"Carbon black is considered possibly carcinogenic to humans and classified as a Group 2B carcinogen because there is sufficient evidence in experimental animals with inadequate evidence in human epidemiological studies. The evidence of carcinogenicity in animal studies comes from two chronic inhalation studies and two intratracheal instillation studies in rats, which showed significantly elevated rates of lung cancer in exposed animals. An inhalation study on mice did not show significantly elevated rates of lung cancer in exposed animals. Epidemiologic data comes from three cohort studies of carbon black production workers. Two studies, from the United Kingdom and Germany, with over 1,000 workers in each study group showed elevated mortality from lung cancer. A third study of over 5,000 carbon black workers in the United States did not show elevated mortality. Newer findings of increased lung cancer mortality in an update from the UK study suggest that carbon black could be a late-stage carcinogen. However, a more recent and larger study from Germany did not confirm this hypothesis.",https://en.wikipedia.org/wiki/Carbon_black#Safety
31,Chromium (hexavalent compounds),"A large number of case reports dating to the late 19th and early-to-mid-20th centuries raised suspicions that workers in various industries with exposure to chromium compounds, including chromate production, production of chromate pigments and chromium plating may be at risk of developing various cancers. Beginning in the mid-20th century, cohort studies were undertaken in these industries as well as in some other occupations and industries with potential exposure to chromium compounds, such as ferrochromium or stainless steel production, welding, leather tanning, and some others. By the 1980s considerable evidence had accumulated on cancer risks of chromium-exposed workers, and leading to the identification of chromium (VI) compounds as a human carcinogen ",https://www.ncbi.nlm.nih.gov/books/NBK304377/
32,Coal Tar,"Evidence is inconclusive whether the coal tar in the concentrations seen in non-prescription treatments causes cancer, because there is insufficient data to make a judgment. While coal tar consistently causes cancer in animal studies, short-term treatments of humans have shown no significant increase in rates of cancer. It's possible that the skin can repair itself after short-term exposure to PAHs, but not after long-term exposure. Coal tar was one of the first chemical substances proven to cause cancer from occupational exposure, during research in 1775 on the cause of chimney sweeps' carcinoma. Modern studies have shown that working with coal tar pitch, such as during the paving of roads or when working on roofs, increases the risk of cancer. Coal tar contains many polycyclic aromatic hydrocarbons, and it is believed that their metabolites bind to DNA, damaging it. Long-term skin exposure to these compounds can produce ""tar warts"", which can progress to squamous cell carcinoma.",https://en.wikipedia.org/wiki/Coal_tar
33,Coal tar extract,"Evidence is inconclusive whether the coal tar in the concentrations seen in non-prescription treatments causes cancer, because there is insufficient data to make a judgment. While coal tar consistently causes cancer in animal studies, short-term treatments of humans have shown no significant increase in rates of cancer. It's possible that the skin can repair itself after short-term exposure to PAHs, but not after long-term exposure. Coal tar was one of the first chemical substances proven to cause cancer from occupational exposure, during research in 1775 on the cause of chimney sweeps' carcinoma. Modern studies have shown that working with coal tar pitch, such as during the paving of roads or when working on roofs, increases the risk of cancer. Coal tar contains many polycyclic aromatic hydrocarbons, and it is believed that their metabolites bind to DNA, damaging it. Long-term skin exposure to these compounds can produce ""tar warts"", which can progress to squamous cell carcinoma.",https://en.wikipedia.org/wiki/Coal_tar
34,Coal tar solution,"Evidence is inconclusive whether the coal tar in the concentrations seen in non-prescription treatments causes cancer, because there is insufficient data to make a judgment. While coal tar consistently causes cancer in animal studies, short-term treatments of humans have shown no significant increase in rates of cancer. It's possible that the skin can repair itself after short-term exposure to PAHs, but not after long-term exposure. Coal tar was one of the first chemical substances proven to cause cancer from occupational exposure, during research in 1775 on the cause of chimney sweeps' carcinoma. Modern studies have shown that working with coal tar pitch, such as during the paving of roads or when working on roofs, increases the risk of cancer. Coal tar contains many polycyclic aromatic hydrocarbons, and it is believed that their metabolites bind to DNA, damaging it. Long-term skin exposure to these compounds can produce ""tar warts"", which can progress to squamous cell carcinoma.",https://en.wikipedia.org/wiki/Coal_tar
35,Coal tars,"Evidence is inconclusive whether the coal tar in the concentrations seen in non-prescription treatments causes cancer, because there is insufficient data to make a judgment. While coal tar consistently causes cancer in animal studies, short-term treatments of humans have shown no significant increase in rates of cancer. It's possible that the skin can repair itself after short-term exposure to PAHs, but not after long-term exposure. Coal tar was one of the first chemical substances proven to cause cancer from occupational exposure, during research in 1775 on the cause of chimney sweeps' carcinoma. Modern studies have shown that working with coal tar pitch, such as during the paving of roads or when working on roofs, increases the risk of cancer. Coal tar contains many polycyclic aromatic hydrocarbons, and it is believed that their metabolites bind to DNA, damaging it. Long-term skin exposure to these compounds can produce ""tar warts"", which can progress to squamous cell carcinoma.",https://en.wikipedia.org/wiki/Coal_tar
36,Cocamide,"The International Agency for Research on Cancer (IARC) lists coconut oil diethanolamine condensate (cocamide DEA) as an IARC Group 2B carcinogen, which identifies this chemical as possibly carcinogenic to humans. The listing is based on a dermal animal bioassay. In June 2012, the California Office of Environmental Health Hazard Assessment added cocamide DEA to the California Proposition 65 (1986) list of chemicals known to cause cancer.",https://en.wikipedia.org/wiki/Cocamide_DEA
37,Cocamide DEA,"The International Agency for Research on Cancer (IARC) lists coconut oil diethanolamine condensate (cocamide DEA) as an IARC Group 2B carcinogen, which identifies this chemical as possibly carcinogenic to humans. The listing is based on a dermal animal bioassay. In June 2012, the California Office of Environmental Health Hazard Assessment added cocamide DEA to the California Proposition 65 (1986) list of chemicals known to cause cancer.",https://en.wikipedia.org/wiki/Cocamide_DEA
38,Cocamide MEA,"The International Agency for Research on Cancer (IARC) lists coconut oil diethanolamine condensate (cocamide DEA) as an IARC Group 2B carcinogen, which identifies this chemical as possibly carcinogenic to humans. The listing is based on a dermal animal bioassay. In June 2012, the California Office of Environmental Health Hazard Assessment added cocamide DEA to the California Proposition 65 (1986) list of chemicals known to cause cancer.",https://en.wikipedia.org/wiki/Cocamide_DEA
39,Cocamide diethanolamine,"The International Agency for Research on Cancer (IARC) lists coconut oil diethanolamine condensate (cocamide DEA) as an IARC Group 2B carcinogen, which identifies this chemical as possibly carcinogenic to humans. The listing is based on a dermal animal bioassay. In June 2012, the California Office of Environmental Health Hazard Assessment added cocamide DEA to the California Proposition 65 (1986) list of chemicals known to cause cancer.",https://en.wikipedia.org/wiki/Cocamide_DEA
40,Cocamide diethanolamine (DEA),"The International Agency for Research on Cancer (IARC) lists coconut oil diethanolamine condensate (cocamide DEA) as an IARC Group 2B carcinogen, which identifies this chemical as possibly carcinogenic to humans. The listing is based on a dermal animal bioassay. In June 2012, the California Office of Environmental Health Hazard Assessment added cocamide DEA to the California Proposition 65 (1986) list of chemicals known to cause cancer.",https://en.wikipedia.org/wiki/Cocamide_DEA
41,Coffea arabica extract,"Coffee berry (Coffea arabica L.) is a natural ingredient that has promising efficacy in the topical treatment of oxidative stress-induced pathologies (e.g., premature skin aging, dermatoses), and its seed oil is widely used in cosmetic formulations. Indeed, it was recently shown that Coffea arabica leaf extract, naturally rich in polyphenols, can prevent photo-damage in skin through: (1) stimulation of type I pro-collagen, (2) inhibition of MMP expression, and inhibition of MAPK pathway (i.e., phosphorylation of JNK, ERK and p38 MAPK).42 Further, an in vitro study showed protective effects of green Coffea arabica oil (GCO) in human skin cells and explants.",https://www.sciencedirect.com/topics/medicine-and-dentistry/coffea-arabica
42,Coffee,"Caffeine is a component of coffee beans ( and Coffea robusta), tea leaves (Cammelia thea) and other plants of the families rubiacea, sterculiacea and theacea. In addition to traditional caffeine-containing products, such as coffee, tea and chocolate, caffeine can be consumed from a variety of non-traditional sources. ",https://www.sciencedirect.com/topics/medicine-and-dentistry/coffea-arabica
43,Coffee bean extract,"An orally bioavailable dietary supplement composed of an extract from the beans of green coffee (Coffea arabica), which are unprocessed and unroasted, with potential anti-inflammatory, antioxidant and chemopreventive activities. Coffea arabica extract contain high amounts of phenolic compounds and their derivatives, such as chlorogenic acid (CGA), and alkaloids, such as caffeine. As many of the active components in the Coffea arabica are antioxidant compounds, upon administration, they scavenge free radicals, protect against oxidation of low-density lipoprotein (LDL), and inhibit cell damage due to reactive oxygen species (ROS). This inhibits oxidative stress and protects against DNA damage.",https://www.cancer.gov/publications/dictionaries/cancer-drug/def/794158
44,Coffee extract,"An orally bioavailable dietary supplement composed of an extract from the beans of green coffee (Coffea arabica), which are unprocessed and unroasted, with potential anti-inflammatory, antioxidant and chemopreventive activities. Coffea arabica extract contain high amounts of phenolic compounds and their derivatives, such as chlorogenic acid (CGA), and alkaloids, such as caffeine. As many of the active components in the Coffea arabica are antioxidant compounds, upon administration, they scavenge free radicals, protect against oxidation of low-density lipoprotein (LDL), and inhibit cell damage due to reactive oxygen species (ROS). This inhibits oxidative stress and protects against DNA damage.",https://www.cancer.gov/publications/dictionaries/cancer-drug/def/794159
45,Cosmetic talc,"Talc has many uses in cosmetics and other personal care products; in food, such as rice and chewing gum; and in the manufacture of tablets. For example, it may be used to absorb moisture, to prevent caking, to make facial makeup opaque, or to improve the feel of a product.Published scientific literature going back to the 1960s has suggested a possible association between the use of powders containing talc and the incidence of ovarian cancer. However, these studies have not conclusively demonstrated such a link, or if such a link existed, what risk factors might be involved. The FDA has ongoing research in this area. In addition, questions about the potential contamination of talc with asbestos have been raised since the 1970s. ",https://www.fda.gov/cosmetics/cosmetic-ingredients/talc
46,Di-n-butyl phthalate (DBP),"DBP was added to the California Proposition 65 (1986) list of suspected teratogens in November 2006. It is a suspected endocrine disruptor. It was used in many consumer products, e.g., nail polish, but such usages has declined since around 2006. It was banned in children's toys, in concentrations of 1000 ppm or greater, under section 108 of the Consumer Product Safety Improvement Act of 2008.",https://en.wikipedia.org/wiki/Dibutyl_phthalate
47,Dichloroacetic acid,"Neuropathy has been a problem in some clinical trials with DCA causing them to be effectively halted, but a 2008 BJC review found that it has not occurred in DCA other trials. The mechanism of DCA induced neuropathy is not well understood. On the one hand in vitro work with nerves has suggested a mechanism for the neuropathic effect of DCA; with DCA showing a dose and exposure dependent demyelination of nerves (stripping of the nerve 'sheath'), which demyelination was partially reversible over time, following washout of DCA. On the other hand, the 2008 review in BJC states ""This neurotoxicity resembled the pattern of length-dependent, axonal, sensorimotor polyneuropathy without demyelination."" with regard to the 2006 study by Kaufman et al.",https://en.wikipedia.org/wiki/Dichloroacetic_acid#Cancer
48,Dichloromethane (Methylene chloride),"DCM is the least toxic of the simple chlorohydrocarbons, but it is not without health risks, as its high volatility makes it an acute inhalation hazard.[19][20] It can also be absorbed through the skin. Symptoms of acute overexposure to dichloromethane via inhalation include difficulty concentrating, dizziness, fatigue, nausea, headaches, numbness, weakness, and irritation of the upper respiratory tract and eyes. More severe consequences can include suffocation, loss of consciousness, coma, and death. DCM is also metabolized by the body to carbon monoxide potentially leading to carbon monoxide poisoning. Acute exposure by inhalation has resulted in optic neuropathy and hepatitis. Prolonged skin contact can result in DCM dissolving some of the fatty tissues in skin, resulting in skin irritation or chemical burns.",https://en.wikipedia.org/wiki/Dichloromethane#Specialized_uses
49,Diethanolamides of the fatty acids of coconut oil,"The International Agency for Research on Cancer (IARC) lists coconut oil diethanolamine condensate (cocamide DEA) as an IARC Group 2B carcinogen, which identifies this chemical as possibly carcinogenic to humans. The listing is based on a dermal animal bioassay. In June 2012, the California Office of Environmental Health Hazard Assessment added cocamide DEA to the California Proposition 65 (1986) list of chemicals known to cause cancer.",https://en.wikipedia.org/wiki/Cocamide_DEA
