<<<<<<< HEAD
﻿,BRAND NAME
216,FoxyBae
217,frank body
218,Frederick Benjamin
219,Frizz Defense
220,Fromm
221,Funko
222,Fur
223,Garnier
224,Ghd
225,Gigi
226,Gillette
227,Giorgio Armani
228,Givenchy
229,Go Smile
230,Gold 'N Hot
231,Goodal
232,Got 2b
233,Grande Cosmetics
234,Grow Gorgeous
235,Grown Alchemist
236,Gucci
237,Guerlain
238,Guy Laroche
239,Hair Food
240,Hairdo
241,Hairology
242,Hand in Hand
243,Hanskin
244,Hask
245,HauteBronze
246,Hello
247,Hempz
248,Heritage Store
249,Hey Honey
250,Hip Chic
251,Holika Holika
252,Hollywood Fashion Secrets
253,Holster Brands
254,HomeWorx
255,Hot Tools
256,House 99 by David Beckham
257,House of Lashes
258,Hugo Boss
259,Hustle Butter
260,I Dew Care
261,I Heart Revolution
262,ICONIC LONDON
263,IGK
264,iHome
265,IMBIBE
266,Impressions Vanity
267,Incoco
268,Indeed Labs
269,Inked by Dani
270,InStyler
271,Invisibobble
272,IPKN
273,IROHA
274,Issey Miyake
275,IT Brushes For ULTA
276,It Cosmetics
277,It's A 10
278,J.Cat Beauty
279,Jack Black
280,Jacques Fath
281,jane iredale
282,Jean Paul Gaultier
283,Jennifer Lopez
284,Jergens
285,Jimmy Choo
286,John Frieda
287,John Varvatos
288,Joico
289,Jolen
290,Juice Beauty
291,Juicy Couture
292,Juvia's Place
293,Karuna
294,Kate Somerville
295,Kate Spade New York
296,Kenneth Cole New York
297,Kenra Professional
298,Keracolor
299,Keranique
300,Keratin Complex
301,Kiehl's Since 1851
302,Kiesque
303,KIKO Milano
304,Kiss
305,Kitao
306,Kitsch
307,KKW BEAUTY
308,KKW FRAGRANCE
309,Klairs
310,Klorane
311,KoCostar
312,Kopari Beauty
313,KYLIE COSMETICS
314,KYLIE SKIN
315,Kyn.
316,L'ange
317,L'anza
318,L'OrÈal
319,L.A. Girl
320,La Roche-Posay
321,Lacoste
322,Lake & Skye
323,LancÙme
324,Lano
325,LashFood
326,LASplash Cosmetics
327,LAVANILA
328,Le Mini Macaron
329,Leaders
330,Leandro Limited
331,Lee Stafford
332,Lifestyle Products
333,Lilly Lashes
334,Lime Crime
335,Lip Smacker
336,Lipstick Queen
337,Little Barn Apothecary
338,Living Proof
339,Londontown
340,LORAC
341,Lottie London
342,Love Beauty and Planet
343,Love Wellness
344,Loving Tan
345,Lulu Beauty
346,Lunata
347,M. Skin Care
348,MAC
349,Macadamia Professional
350,Mad Hippie
351,Madison Reed
352,MakeUp Eraser
353,Makeup Revolution
354,Mamonde
355,Mane Club
356,Manic Panic
357,Marc Anthony
358,Marc Jacobs
359,Mario Badescu
360,Marvis
361,Matrix
362,Maui Babe
363,Maui Moisture
364,Mavala
365,Maybelline
366,Meaningful Beauty
367,megababe
368,MegRhythm
369,Meow Meow Tweet
370,Miamica
371,Michael Kors
372,Michael Todd Beauty
373,Milani
374,Milk + Honey
375,Miss Spa
376,Mixed Chicks
377,Mizani
378,Montagne Jeunesse
379,Montblanc
380,Moon
381,Moon Mousse
382,Morgan Taylor
383,Morphe
384,Moschino
385,MUGLER
386,Murad
387,My Clarins
388,n:p beautiful
389,NABLA
390,Nads Natural
391,Nail Tek
392,Nair
393,Narciso Rodriguez
394,NARS
395,Naturalicious
396,Naturally G4U
397,Nature's Bounty
398,NEST Fragrances
399,Neuma
400,Neutrogena
401,Nexxus
402,Nia
403,Nioxin
404,Nivea
405,NKD SKN
406,No Mo
407,No7
408,Not Your Mother's
409,Noughty
410,NUDESTIX
411,Nuface
412,NuMe
413,Nurse Jamie
414,NYX Professional Makeup
415,Oars + Alps
416,Ofra Cosmetics
417,OGX
418,Oh K!
419,Olay
420,Olivia Garden
421,OPI
422,ORA
423,Orgain
424,Organic to Green
425,Origins
426,Orly
427,Oscar de la Renta
428,Ouidad
429,Pacifica
430,Paco Rabanne
431,Parissa
432,Patchology
433,Pattern
434,Paul Mitchell
435,PEACH & LILY
436,Percy Nobleman
437,Perfect Formula
438,Perricone MD
439,Peter Thomas Roth
440,Petite 'n Pretty
441,Philips
442,Philosophy
443,Physicians Formula
444,Phyto
445,Pinch Provisions
446,Pink Sugar
447,Plant Apothecary
448,PMD
449,Poo~Pourri
450,Popband London
451,Prada
452,Pravana
453,Proactiv
454,Psssst!
455,Pulleez
456,Punky Colour
457,Pura d'or
458,PureHeals
459,Puremay
460,Pureology
461,pursoma
462,PYT Beauty
463,PÈrsona
464,P‹R
465,Ralph Lauren
466,RapidHair
467,Rapidlash
468,re:p
469,Real Techniques
470,Rebels Refinery
471,Red Carpet Manicure
472,Redken
473,Remington
474,Revlon
475,Revolution PRO
476,REVOLUTION SKINCARE
477,Riki Loves Riki
478,RITUALS
479,Riviera
480,Robanda
481,RoC
482,Rodial
483,Rosebud Perfume Co.
484,Rusk
485,S'well
486,Sagely Naturals
487,Sally Hansen
488,Sara Happ
489,Schick
490,Schmidts
491,Scinic
492,Sc¸nci
493,Sebastian
494,Seche
495,Secret
496,Seed Phytonutrients
497,SeroVital
498,Sexy Hair
499,Shaveworks
500,SheaMoisture
501,Shimmer Lights
502,Shiseido
503,Silk'n
504,Simple
505,simplehuman
506,Skin Gym
507,SKIN&CO
508,Skinfood
509,Skyn Iceland
510,Sleek MakeUP
511,Smashbox
512,SMITH & CULT
513,SNP
514,Soap & Glory
515,SoCozy
516,Soho
517,Soo'AE
518,Sorbus
519,Sphynx
520,Splat
521,Spongeables
522,Spornette
523,St. Moriz
524,St. Tropez
525,St. Tropica
526,Stila
527,Storybook Cosmetics
528,StriVectin
529,Sugarbearhair
530,SUGARPILL
531,Sultra
532,Sun Bum
533,SUNDAY RILEY
534,Sunshine & Glitter
535,Supersmile
536,Sweet & Shimmer
537,SweetSpot Labs
538,System Professional
539,T3
540,Tan Towel
541,TAN-LUXE
542,Tangle Teezer
543,Tartan + Twine
544,Tarte
545,Teami Blends
546,Tend Skin
547,Terra Beauty Bars
548,tgin
549,THANN
550,Thayers
551,The Better Skin Co.
552,The Body Shop
553,The Brush Guard
554,The CrËme Shop
555,The Good Stuff
556,The Hair Edit
557,The Handmade Soap Co.
558,The Makeup Bullet
559,The One by Frederic Fekkai
560,THE OOZOO
561,The Ordinary
562,THE ROUTE
563,The Sign Tribe
564,The Vamp Stamp
565,The Vintage Cosmetic Company
566,Theorie
567,Thick Head
568,this works
569,Thymes
570,Tigi
571,TOM FORD
572,TONYMOLY
573,Too Cool For School
574,Too Faced
575,Toppik
576,Tory Burch
577,Touch In Sol
578,TPSY
579,Tree Hut
580,Tresemme
581,Trilogy
582,Triumph & Disaster
583,Truly
584,Tula
585,Turbie Twist
586,Tweezerman
587,TXTR. by Cantu
588,Uberliss
589,ULTA
590,Unwash
591,UOMA Beauty
592,Urban Decay Cosmetics
593,Urban Skin Rx
594,VDL
595,Velour Lashes
596,Vera Wang
597,Versace
598,Vichy
599,Viktor&Rolf
600,Vince Camuto
601,Vita Liberata
602,Vitabath
603,VitaminSea.beauty
604,Viviscal
605,Voir
606,W3LL PEOPLE
607,Wahl
608,Wakse
609,We Are Paradoxx
610,Weleda
611,Wella
612,Wet Brush
613,Wet n Wild
614,Wigo
615,Winky Lux
616,Wish Formula
617,Wunder2
618,Yes to
619,Young Nails
620,YourGoodSkin
621,YUNI
622,Yves Saint Laurent
623,zilch
624,ZitSticka
625,ZOEVA
=======
﻿,BRAND NAME
1,A GLAM ADDICTION
2,ACURE
3,AG Hair
4,Ahava
5,Almay
6,Alpha Skin Care
7,Alterna
8,Amazing Cosmetics
9,American Crew
10,AmopÈ
11,Anastasia Beverly Hills
12,Ancient Healing Clay
13,Ancient Nutrition
14,Andalou Naturals
15,Aquage
16,Aquaphor
17,Aquis
18,Aramis
19,ARCONA
20,Ardell
21,Ariana Grande
22,Australian Gold
23,Aveeno
24,Awake Beauty
25,Azzaro
26,Babo Botanicals
27,Baby Foot
28,BaBylissPRO
29,Bali Body
30,Banila Co
31,Bare Republic
32,BareMinerals
33,Base 4
34,Batiste
35,Bawdy
36,Baxter of California
37,Beachwaver Co.
38,Beauty Bakerie
39,Beauty by POPSUGAR
40,Beauty Finds by ULTA Beauty
41,Beauty Gems
42,beautyblender
43,BeautyGARDE
44,BECCA
45,Bed Head
46,Belli
47,Benefit Cosmetics
48,BH Cosmetics
49,Bic
50,Bikini Zone
51,Billy Jealousy
52,Bio Ionic
53,Bio-Oil
54,Biobelle
55,BiorÈ
56,Biosilk
57,Black Moon Cosmetics
58,BLINKING BEAUT…
59,Bliss
60,BLONDME
61,Blue Lizard Australian Sunscreen
62,boscia
63,Bosley
64,BOTA
65,Bio Ionic
66,Bio-Oil
67,Biobelle
68,BiorÈ
69,Biosilk
70,Black Moon Cosmetics
71,BLINKING BEAUT…
72,Bliss
73,BLONDME
74,Blue Lizard Australian Sunscreen
75,boscia
76,Bosley
77,BOTA
78,Botanics
79,Braun
80,Brite
81,Brush Lab
82,Bumble and bumble
83,Burberry
84,Burt's Bees
85,Butter London
86,Buxom
87,Bvlgari
88,B…IS
89,C&C by Clean & Clear
90,C. Booth
91,Caboodles
92,Calvin Klein
93,Cane + Austin
94,CANNUKA
95,Capelli New York
96,Capri Blue
97,Captain Blankenship
98,Carol's Daughter
99,Carolina Herrera
100,Catrice
101,CeraVe
102,Cetaphil
103,ChapStick
104,Chi
105,China Glaze
106,ChloÈ
107,Clairol
108,Clarins
109,Clarisonic
110,Clean
111,Clinique
112,CND
113,Coach
114,Coco & Eve
115,Color Mask.
116,Color Oops
117,Color Wow
118,ColourPop
119,Completely Bare
120,Conair
121,COOLA
122,COSRX
123,CoTz
124,COVER FX
125,Cover Your Gray
126,CoverGirl
127,Crepe Erase
128,Crest
129,Cricket
130,Croc
131,Curious Brushes By Nick Stenson
132,Curlsmith
133,CurÈl
134,da Bomb
135,Daily Concepts
136,Danielle
137,Dashing Diva
138,David And Young
139,Davidoff
140,Ddf
141,DEARPACKER
142,DefineMe Fragrance
143,Delectable
144,DEREK LAM 10 CROSBY
145,Derma E
146,Dermablend
147,Dermadoctor
148,DERMAFLASH
149,Dermalogica
150,Dermelect
151,Design Essentials
152,DevaCurl
153,DHC
154,Diamond Cosmetics
155,Diane
156,Differin
157,Dionis
158,Dior
159,Dippity Do
160,DKNY
161,Doctor Lip Bang's
162,Dolce&Gabbana
163,Donna Karan
164,Dose Of Colors
165,Double Dare
166,dpHUE
167,Dr Roebuck's
168,Dr Teal's
169,Dr. Brandt
170,Dr. Bronner's
171,Dr.Organic
172,Drybar
173,Duke Cannon Supply Co
174,Dyson
175,e.l.f. Cosmetics
176,Earth Therapeutics
177,Eau de Juice
178,EcoTools
179,Elchim
180,Elcie Cosmetics
181,ELEMIS
182,Elizabeth and James Nirvana
183,Elizabeth Arden
184,ella+mila
185,Eos
186,Erborian
187,Escada
188,Essence
189,Essie
190,EstÈe Lauder
191,Eucerin
192,Eva Nyc
193,EVE LOM
194,Everpro
195,Every Man Jack
196,Evian Mineral Spray
197,Exuviance
198,Eyeko
199,Eylure
200,Fairy Tales
201,Fake Bake
202,Feeling Beautiful
203,FinchBerry
204,First Aid Beauty
205,Fizz & Bubble
206,Flawless by Finishing Touch
207,Flesh
208,Flora & Curl
209,florence by mills
210,FLOWER Beauty
211,Flowery
212,Foreo
213,Formawell Beauty
214,Formula 10.0.6
215,Fountain of Truth
216,FoxyBae
217,frank body
218,Frederick Benjamin
219,Frizz Defense
220,Fromm
221,Funko
222,Fur
223,Garnier
224,Ghd
225,Gigi
226,Gillette
227,Giorgio Armani
228,Givenchy
229,Go Smile
230,Gold 'N Hot
231,Goodal
232,Got 2b
233,Grande Cosmetics
234,Grow Gorgeous
235,Grown Alchemist
236,Gucci
237,Guerlain
238,Guy Laroche
239,Hair Food
240,Hairdo
241,Hairology
242,Hand in Hand
243,Hanskin
244,Hask
245,HauteBronze
246,Hello
247,Hempz
248,Heritage Store
249,Hey Honey
250,Hip Chic
251,Holika Holika
252,Hollywood Fashion Secrets
253,Holster Brands
254,HomeWorx
255,Hot Tools
256,House 99 by David Beckham
257,House of Lashes
258,Hugo Boss
259,Hustle Butter
260,I Dew Care
261,I Heart Revolution
262,ICONIC LONDON
263,IGK
264,iHome
265,IMBIBE
266,Impressions Vanity
267,Incoco
268,Indeed Labs
269,Inked by Dani
270,InStyler
271,Invisibobble
272,IPKN
273,IROHA
274,Issey Miyake
275,IT Brushes For ULTA
276,It Cosmetics
277,It's A 10
278,J.Cat Beauty
279,Jack Black
280,Jacques Fath
281,jane iredale
282,Jean Paul Gaultier
283,Jennifer Lopez
284,Jergens
285,Jimmy Choo
286,John Frieda
287,John Varvatos
288,Joico
289,Jolen
290,Juice Beauty
291,Juicy Couture
292,Juvia's Place
293,Karuna
294,Kate Somerville
295,Kate Spade New York
296,Kenneth Cole New York
297,Kenra Professional
298,Keracolor
299,Keranique
300,Keratin Complex
301,Kiehl's Since 1851
302,Kiesque
303,KIKO Milano
304,Kiss
305,Kitao
306,Kitsch
307,KKW BEAUTY
308,KKW FRAGRANCE
309,Klairs
310,Klorane
311,KoCostar
312,Kopari Beauty
313,KYLIE COSMETICS
314,KYLIE SKIN
315,Kyn.
316,L'ange
317,L'anza
318,L'OrÈal
319,L.A. Girl
320,La Roche-Posay
321,Lacoste
322,Lake & Skye
323,LancÙme
324,Lano
325,LashFood
326,LASplash Cosmetics
327,LAVANILA
328,Le Mini Macaron
329,Leaders
330,Leandro Limited
331,Lee Stafford
332,Lifestyle Products
333,Lilly Lashes
334,Lime Crime
335,Lip Smacker
336,Lipstick Queen
337,Little Barn Apothecary
338,Living Proof
339,Londontown
340,LORAC
341,Lottie London
342,Love Beauty and Planet
343,Love Wellness
344,Loving Tan
345,Lulu Beauty
346,Lunata
347,M. Skin Care
348,MAC
349,Macadamia Professional
350,Mad Hippie
351,Madison Reed
352,MakeUp Eraser
353,Makeup Revolution
354,Mamonde
355,Mane Club
356,Manic Panic
357,Marc Anthony
358,Marc Jacobs
359,Mario Badescu
360,Marvis
361,Matrix
362,Maui Babe
363,Maui Moisture
364,Mavala
365,Maybelline
366,Meaningful Beauty
367,megababe
368,MegRhythm
369,Meow Meow Tweet
370,Miamica
371,Michael Kors
372,Michael Todd Beauty
373,Milani
374,Milk + Honey
375,Miss Spa
376,Mixed Chicks
377,Mizani
378,Montagne Jeunesse
379,Montblanc
380,Moon
381,Moon Mousse
382,Morgan Taylor
383,Morphe
384,Moschino
385,MUGLER
386,Murad
387,My Clarins
388,n:p beautiful
389,NABLA
390,Nads Natural
391,Nail Tek
392,Nair
393,Narciso Rodriguez
394,NARS
395,Naturalicious
396,Naturally G4U
397,Nature's Bounty
398,NEST Fragrances
399,Neuma
400,Neutrogena
401,Nexxus
402,Nia
403,Nioxin
404,Nivea
405,NKD SKN
406,No Mo
407,No7
408,Not Your Mother's
409,Noughty
410,NUDESTIX
411,Nuface
412,NuMe
413,Nurse Jamie
414,NYX Professional Makeup
415,Oars + Alps
416,Ofra Cosmetics
417,OGX
418,Oh K!
419,Olay
420,Olivia Garden
421,OPI
422,ORA
423,Orgain
424,Organic to Green
425,Origins
426,Orly
427,Oscar de la Renta
428,Ouidad
429,Pacifica
430,Paco Rabanne
431,Parissa
432,Patchology
433,Pattern
434,Paul Mitchell
435,PEACH & LILY
436,Percy Nobleman
437,Perfect Formula
438,Perricone MD
439,Peter Thomas Roth
440,Petite 'n Pretty
441,Philips
442,Philosophy
443,Physicians Formula
444,Phyto
445,Pinch Provisions
446,Pink Sugar
447,Plant Apothecary
448,PMD
449,Poo~Pourri
450,Popband London
451,Prada
452,Pravana
453,Proactiv
454,Psssst!
455,Pulleez
456,Punky Colour
457,Pura d'or
458,PureHeals
459,Puremay
460,Pureology
461,pursoma
462,PYT Beauty
463,PÈrsona
464,P‹R
465,Ralph Lauren
466,RapidHair
467,Rapidlash
468,re:p
469,Real Techniques
470,Rebels Refinery
471,Red Carpet Manicure
472,Redken
473,Remington
474,Revlon
475,Revolution PRO
476,REVOLUTION SKINCARE
477,Riki Loves Riki
478,RITUALS
479,Riviera
480,Robanda
481,RoC
482,Rodial
483,Rosebud Perfume Co.
484,Rusk
485,S'well
486,Sagely Naturals
487,Sally Hansen
488,Sara Happ
489,Schick
490,Schmidts
491,Scinic
492,Sc¸nci
493,Sebastian
494,Seche
495,Secret
496,Seed Phytonutrients
497,SeroVital
498,Sexy Hair
499,Shaveworks
500,SheaMoisture
501,Shimmer Lights
502,Shiseido
503,Silk'n
504,Simple
505,simplehuman
506,Skin Gym
507,SKIN&CO
508,Skinfood
509,Skyn Iceland
510,Sleek MakeUP
511,Smashbox
512,SMITH & CULT
513,SNP
514,Soap & Glory
515,SoCozy
516,Soho
517,Soo'AE
518,Sorbus
519,Sphynx
520,Splat
521,Spongeables
522,Spornette
523,St. Moriz
524,St. Tropez
525,St. Tropica
526,Stila
527,Storybook Cosmetics
528,StriVectin
529,Sugarbearhair
530,SUGARPILL
531,Sultra
532,Sun Bum
533,SUNDAY RILEY
534,Sunshine & Glitter
535,Supersmile
536,Sweet & Shimmer
537,SweetSpot Labs
538,System Professional
539,T3
540,Tan Towel
541,TAN-LUXE
542,Tangle Teezer
543,Tartan + Twine
544,Tarte
545,Teami Blends
546,Tend Skin
547,Terra Beauty Bars
548,tgin
549,THANN
550,Thayers
551,The Better Skin Co.
552,The Body Shop
553,The Brush Guard
554,The CrËme Shop
555,The Good Stuff
556,The Hair Edit
557,The Handmade Soap Co.
558,The Makeup Bullet
559,The One by Frederic Fekkai
560,THE OOZOO
561,The Ordinary
562,THE ROUTE
563,The Sign Tribe
564,The Vamp Stamp
565,The Vintage Cosmetic Company
566,Theorie
567,Thick Head
568,this works
569,Thymes
570,Tigi
571,TOM FORD
572,TONYMOLY
573,Too Cool For School
574,Too Faced
575,Toppik
576,Tory Burch
577,Touch In Sol
578,TPSY
579,Tree Hut
580,Tresemme
581,Trilogy
582,Triumph & Disaster
583,Truly
584,Tula
585,Turbie Twist
586,Tweezerman
587,TXTR. by Cantu
588,Uberliss
589,ULTA
590,Unwash
591,UOMA Beauty
592,Urban Decay Cosmetics
593,Urban Skin Rx
594,VDL
595,Velour Lashes
596,Vera Wang
597,Versace
598,Vichy
599,Viktor&Rolf
600,Vince Camuto
601,Vita Liberata
602,Vitabath
603,VitaminSea.beauty
604,Viviscal
605,Voir
606,W3LL PEOPLE
607,Wahl
608,Wakse
609,We Are Paradoxx
610,Weleda
611,Wella
612,Wet Brush
613,Wet n Wild
614,Wigo
615,Winky Lux
616,Wish Formula
617,Wunder2
618,Yes to
619,Young Nails
620,YourGoodSkin
621,YUNI
622,Yves Saint Laurent
623,zilch
624,ZitSticka
625,ZOEVA
>>>>>>> 6c5d950a05044d8dc5a2dd2876ab3ab55a1e5e5a
626,Zoya
