,ChemicalName,Chemical_Description,Web_Link,PrimaryCategory,ProductName
40,Cocamide diethanolamine (DEA),,,Hair Care Products (non-coloring),Moisturizing Shampoo
41,Coffea arabica extract,,,"Makeup Products (non-permanent),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Sun-Related Products,Skin Care Products ,Skin Care Products ,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Sun-Related Products,Sun-Related Products,Sun-Related Products,Skin Care Products ,Skin Care Products ,Skin Care Products ,Bath Products,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Sun-Related Products,Sun-Related Products,Skin Care Products ,Sun-Related Products,Bath Products,Sun-Related Products,Sun-Related Products,Sun-Related Products,Skin Care Products ,Sun-Related Products,Sun-Related Products,Sun-Related Products,Sun-Related Products,Sun-Related Products,Sun-Related Products,Skin Care Products ,Skin Care Products ,Makeup Products (non-permanent),Sun-Related Products,Skin Care Products ,Skin Care Products ,Skin Care Products ,Sun-Related Products,Skin Care Products ,Sun-Related Products,Skin Care Products ,Sun-Related Products,Skin Care Products ,Sun-Related Products,Sun-Related Products,Sun-Related Products,Personal Care Products,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Hair Care Products (non-coloring),Hair Care Products (non-coloring)","ANEW EYELIFTING SERUM SHADOW-ALL SHADES •À_,Nature's Gate Biotin Strengthening Shampoo,Nature's Gate Aloe Vera Moisturizing Conditioner,Nature's Gate Biotin Strengthening Conditioner,Nature's Gate Daily SPF 15 Sunscreen Moisture Cream,Nature's Gate Fragrance Free Moisturizing Lotion,Nature's Gate Herbal Moisturizing Lotion,Nature's Gate Jojoba Revitalizing Conditioner,Nature's Gate Jojoba Revitalizing Shampoo,Nature's Gate Mineral Kid'sblock SPF 20 Fragrance-Free,Nature's Gate Mineral Sportblock SPF 20 Fragrance-Free,Nature's Gate Mineral Sunblock SPF 20 Light Melon Scent,Nature's Gate Papaya Moisturizing Lotion,Nature's Gate Skin Therapy Moisturizing Lotion,Nature's Gate Organics Mango Body Lotion,Nature's Gate Organics Mango Body Wash,Lancaster 365 Cellular Elixir DNA Action Complex for Delicate Skin,Lancaster 365 Cellular Elixir DNA Action Complex for Delicate Skin,Lancaster 365 Cellular Elixir Intelligent Anti-Aging Eye Serum,Lancaster 365 Cellular Elixir Intelligent Anti-Aging Eye Serum,Lancaster Retinology Eye Cream,Lancaster Retinology Eye Cream,Lancaster Retinology Night Cream,Lancaster Retinology Night Cream,Lancaster Retinology Night Cream,Lancaster Retinology Total Age Solution for Day,Lancaster Retinology Total Age Solution for Day,Lancaster Celluli Drainer Tan Prolonger,Lancaster Celluli Drainer Tan Prolonger,Lancaster Celluli Drainer Tan Prolonger,Lancaster Celluli Drainer Tan Prolonger,Lancaster Sun Care Face, High Protection Age-Defying Cream, SPF 30,Lancaster Sun Care Face, High Protection Age-Defying Cream, SPF 30,Lancaster Sun Care Face, High Protection Age-Defying Cream, SPF 30,Lancaster Sunslim Body Programme - Celluli-Breaker Tan Stimulator,Lancaster Self-Tanning Essential Bronze Milke SPF 6 for Face and Body,Lancaster Self-Tanning Essential Bronze Milke SPF 6 for Face and Body,Lancaster Tan Maximizer,Lancaster Tan Maximizer,Lancaster Ultra Soothing Lotion SPF 30+,Lancaster Deep Bronze Aqua Gel,Lancaster Deep Bronze Aqua Gel,Lancaster Fast Dry Bronze Water Spray,Lancaster Ultra Natural Bronze Care Face SPF6,Lancaster 365 Cellular Elixir DNA Action Complex,Lancaster 365 Cellular Elixir DNA Action Complex,Lancaster Infinite Bronze Easy Face Bronzer Brush SPF 12,Lancaster Infinite Bronze Easy Face Bronzer Brush SPF 12,Lotus Eye Gel,Browning Lotion,Lancaster Infinite Bronze Face Luminizer with SPF 15,Lancaster Infinite Bronze Face Luminizer with SPF 15,Lancaster Infinite Bronze Face Luminizer with SPF 15,Lancaster Infinite Bronze Face Luminizer with SPF 15,Lancaster Infinite Bronze Face Luminizer with SPF 15,Lancaster Infinite Bronze Face Luminizer with SPF 15,Lancaster Infinite Bronze Face Luminizer with SPF 15,Lancaster Infinite Bronze Face Luminizer with SPF 15,Nature's Gate Mineral Kid'sblock SPF 20 Kid-Friendly,Nature's Gate Mineral Sportblock SPF 20 Fragrance-Free,DIOR HOMME SPORT Gel Douche Shower Gel,LE CORPS - SLIM PERFORMANCE,LES PURIFIANTES - CREME MATIFIANTE,LES PURIFIANTES - CREME PURIFIANTE,LES PURIFIANTES - FLUIDE MATIFIANT,LES PURIFIANTES - PUREMENT NETTOYANT,LES PURIFIANTES - TONIQUE PURIFIANT,Herbal Essences The Sleeker The Butter Shampoo,Herbal Essences The Sleeker The Butter Conditioner,Herbal Essences The Sleeker The Butter Hair Milk,Herbal Essences Bio:Renew Arabica Coffee Fruit Shampoo,Herbal Essences Bio:Renew Arabica Coffee Fruit Conditioner,Eye Essence,Toner,Night Cream,Night Gel,Serum,Mask,Silverati Masque,Silverati Masque"
42,Coffee,,,"Skin Care Products ,Sun-Related Products,Sun-Related Products,Sun-Related Products,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Sun-Related Products,Sun-Related Products,Sun-Related Products,Sun-Related Products,Sun-Related Products,Sun-Related Products,Sun-Related Products,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Hair Care Products (non-coloring),Fragrances,Fragrances,Hair Care Products (non-coloring),Bath Products,Skin Care Products ,Skin Care Products ,Skin Care Products ,Bath Products,Skin Care Products ,Sun-Related Products,Sun-Related Products,Sun-Related Products,Sun-Related Products,Sun-Related Products,Sun-Related Products,Sun-Related Products,Sun-Related Products,Sun-Related Products,Skin Care Products ,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Bath Products,Bath Products,Skin Care Products ,Bath Products,Hair Coloring Products,Hair Coloring Products,Skin Care Products ,Bath Products,Bath Products,Bath Products,Makeup Products (non-permanent),Oral Hygiene Products,Bath Products,Bath Products,Bath Products,Skin Care Products ,Hair Care Products (non-coloring),Skin Care Products ,Skin Care Products ,Oral Hygiene Products,Bath Products,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Bath Products,Bath Products,Bath Products,Bath Products,Hair Care Products (non-coloring),Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ","Body Lotion SPF-25,Body Lotion SPF-25,Deep Moisture Lotion SPF-25,Deep Moisture Lotion Tinted SPF-25,Make A Difference Skin Rejuvenating Treatment,Make a Difference Ultra-rich rejuvenating cream,Precipitation Continuous moisture recovery for body,Precipitation Extra Continuous moisture recovery for very dry skin,Superdefense Age Defense Moisturizer SPF 25 Very Dry,Superdefense Age Defense Moisturizer SPF 25 Dry Combination,Superdefense Age Defense Moisturizer Oily to Oily Combination,Youth Surge SPF 15 Age Decelerating Moisturizer Very Dry,Youth Surge Age Decelerating Moisturizer Dry Combination,Youth Surge SPF 15 Age Decelerating Moisturizer Combination Oily to Oily,Repairwear Day SPF 15 Intensive Cream,Hydra Bright Skin Perfecting Moisturizer Creme Dry to Combination Oily,Hydra Bright Skin Perfecting Moisturizer Creme Dry to Combination Oily,Hydra Bright Skin Perfecting Moisturizer Creme Dry to Combination Oily,Hydra Complete Multilevel Moisture Eye Gel Creme,Nutritious Restorative Night Creme,ICE Hair Erratic Molding Clay,Liz Claiborne Eau De Toilette Spray,Halston Perfume,Brazilian coffee beans shower cream,Brazilian coffee beans shower cream,14 day body refiner,Body fefining exfoliator,Cellulite intervention intensive body treatment,White Chocolate Hazelnut Shampoo, Shower Gel & Bubble Bath,KENZOKI ENERGISANT Lotion Hydratante Visage Smooth Bamboo Water Purifying Toning Lotion,ADVANCED STOP SIGNS EYE / Preventive Cream,ALMOST MAKEUP,ALMOST MAKEUP,ALMOST MAKEUP,ALMOST MAKEUP,ALMOST MAKEUP,ALMOST MAKEUP,DAYWEAR PLUS/Multi Protection Anti-Oxidant Creme SPF 15,DAYWEAR PLUS/Multi Protection Anti-Oxidant Creme SPF 15,RE-NUTRIV/Ultimate Lifting Eye Cr•À_me,Hair One Jojoba,Hair One Jojoba,Hair One Jojoba,Pink Energizing Sugar Scrub With Natural Citrus & Mint,Pink Energizing Body Lotion With Natural Citrus and Mint,Pink Energizing Body Wash With Citrus & Mint,Caca Brun Hair Henna,Caca Marron Hair Henna,Sonic Death Monkey Shower Gel,Sonic Death Monkey Shower Gel,The Wuss Bubble Bar,Beauty Rush Body Glimmer Wash,Latte Lip Tint,Atomic Toothy Tab,Original Coffee Scrub,Coconut & Grapeseed Coffee Scrub,Cacao Coffee Scrub,Per cup massage bar,Copperhead,Cup O' Coffee face mask,Five O•À_clock Whistle,Atomic Toothy Powder,Coconut Kiss Exfoliating Coffee Body Scrub,Moisturizing Lotion,Nature's Gate Coffee Body Scrub,Coffee Body Scrub,Coffee Body Scrub,Arabica Coffee Masque,Santa's Christmas - Solid Shower Cream,Santa's Christmas shower cream,Coco Glow,Coco Pure,Elixir Collection Brunette Elixir,Take a Deep Breath oil-free oxygenating gel cream,Full Of Promise Under-Eye Firming Creme,Ultimate miracle worker multi-rejuvenating eye cream broad spectrum spf 15,Ultimate miracle worker multi-rejuvenating eye cream broad spectrum spf 15,PHILOSOPHY PURITY MADE SIMPLE HYDRA-BOUNCE EYE GEL,TIME IN A BOTTLE DAILY AGE-DEFYING SERUM,TIME IN A BOTTLE DAILY AGE-DEFYING SERUM"
43,Coffee bean extract,,,"Skin Care Products ,Sun-Related Products,Skin Care Products ,Sun-Related Products,Skin Care Products ,Skin Care Products ","Advanced Protection SPF 20 Moisturizer Combination Skin,Advanced Protection SPF 20 Moisturizer Combination Skin,Advanced Protection SPF 20 Moisturizer Combination Skin,Advanced Protection SPF 20 Moisturizer Combination Skin,Anti-Redness Foaming Cleanser,Anti-Aging Complex Body Lotion"
44,Coffee extract,,,"Bath Products,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Skin Care Products ,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Skin Care Products ","Luxury Lush Pud,Hydrating Lip Tint,Hydrating Lip Tint,Hydrating Lip Tint,Hydrating Lip Tint,Hydrating Lip Tint,Hydrating Lip Tint,Purely Nourishing Moisturizer,Philosophy Take A Deep Breath cushion foundation SPF 20,Philosophy Take A Deep Breath cushion foundation SPF 20,Take A Deep Breath cushion color for cheeks,Take A Deep Breath cushion color for cheeks,Take A Deep Breath"
45,Cosmetic talc,,,"Personal Care Products,Personal Care Products,Personal Care Products,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Hair Care Products (non-coloring),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Bath Products,Makeup Products (non-permanent),Bath Products,Bath Products,Bath Products,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Bath Products,Bath Products,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Bath Products,Makeup Products (non-permanent),Makeup Products (non-permanent),Skin Care Products ,Makeup Products (non-permanent),Makeup Products (non-permanent),Bath Products,Bath Products,Bath Products,Bath Products,Bath Products,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent)","Cool Buchu Anti-perspirant Stick,Re-charge Black Pepper Anti-perspirant Stick,Sport Anti-perspirant Sportstick,Clearasil Daily Clear Refreshing Superfruit Scrub,VEET In Shower Cream for Dry Skin,VEET In Shower Cream for Normal Skin,VEET 2 Step Facial Hair Cream Kit Hair Remover, Sensitive Formula,VEET Caraing Touch Cream Kit Hair Remover,VEET Fast Acting Gel Cream Hair Remover for Sensitive Skin with Aloe Vera & Vitamin E,VEET Fast Acting Gel Cream Hair Remover with Essential Oils & Velvet Rose scent,Pressed Powder,Cream Make-up,Cream Make-up,Naturally Sheer Wet to Dry,Naturally Sheer Wet to Dry,Naturally Sheer Satin Finish,Naturally Sheer Satin Finish,Pressed Powder,Eye Shadow,Max Mascara,Blush Powder Duet,Loose Powder,Fill In Powder,Eyeshadow (F-108),Eyeshadow (Dior 208-5-4A),Eyeshadow (78985-3A),Eyeshadow (#12),Eyeshadow (FEMA-0025),Eyeshadow (FEIA-0505),Eyeshadow (Bobbi Trio3-2),Eyeshadow (FEMA-0022),Eyeshadow (#3),Eyeshadow (Chanel#87),Eyeshadow (Bobbi Note 4-3A),Eyeshadow (2603C-A),Eyeshadow (FEMA-0026),Eyeshadow (FEMA-0038),Blush (My Orgasm - NARS),Blush (My Angelika - NARS),Eyebrow (Blackout),Eyebrow (Onyx),Eyeshadow (Disco Doll),Eyeshadow (Dark Grey),Eyeshadow (#53),Illuminator (#3-2),Eyeshadow (Brown),Eyeshadow (Light Brown),Eyeshadow (Bobbi Metallic 5-2),Blush (FBPA-0041),Eyeshadow (FRIA-0149),Eyeshadow (Bwown),Eyeshadow (Bobbi Trio3-2),Eyeshadow (FEIA-0621),Eyeshadow (FEIA-0671),Eyeshadow (09),Eyeshadow (2603C),Eyeshadow (FEIA-0075),Eyeshadow (Chanel 10-2),Eyeshadow (4),Eyeshadow (2603C-A ),Eyeshadow (20),Eyeshadow (FENA-0023),Eyeshadow (Bobbi Trio-3-2),Eyeshadow (53),Mermaid •À_ Fun,It Started With A Kiss,Reindeer And Robin Fun,Elf,Snow Fairy - Fun,FOMO,1000 Millihelens,Birth Of Venus,Bunny Moon,Just To Clarify,Snowcloud soap,Tunnel Of Love,Eyes Right mascara,Too Faced Primed & Peachy Primer,Too Faced Primed & Peachy Primer,Emotional Brilliance Translucent Face Powder,Too Faced Sweetie Pie Radiant Matte Bronzer,Too Faced Sweetie Pie Radiant Matte Bronzer,Too Faced Sweetie Pie Radiant Matte Bronzer,Too Faced Sweetie Pie Radiant Matte Bronzer,Too Faced Sweetie Pie Radiant Matte Bronzer,Too Faced White Peach Multi-Dimensional Eye Shadow Palette,Too Faced White Peach Multi-Dimensional Eye Shadow Palette,Too Faced White Peach Multi-Dimensional Eye Shadow Palette,Too Faced White Peach Multi-Dimensional Eye Shadow Palette,Too Faced White Peach Multi-Dimensional Eye Shadow Palette,Too Faced White Peach Multi-Dimensional Eye Shadow Palette,Too Faced White Peach Multi-Dimensional Eye Shadow Palette,Too Faced White Peach Multi-Dimensional Eye Shadow Palette,Too Faced White Peach Multi-Dimensional Eye Shadow Palette,Too Faced White Peach Multi-Dimensional Eye Shadow Palette,Too Faced Sweet Peach Eye Shadow Palette,Too Faced Sweet Peach Eye Shadow Palette,Too Faced Sweet Peach Eye Shadow Palette,Too Faced Sweet Peach Eye Shadow Palette,Too Faced Sweet Peach Eye Shadow Palette,Too Faced Sweet Peach Eye Shadow Palette,Too Faced Sweet Peach Eye Shadow Palette,Too Faced Sweet Peach Eye Shadow Palette,Too Faced Sweet Peach Eye Shadow Palette,Too Faced Sweet Peach Eye Shadow Palette,Too Faced Sweet Peach Eye Shadow Palette,Too Faced Papa Don't Peach,Too Faced Papa Don't Peach,Too Faced Papa Don't Peach,Too Faced Papa Don't Peach,Too Faced Papa Don't Peach,Too Faced Boss Lady Beauty Agenda,Too Faced Boss Lady Beauty Agenda,Too Faced Pretty Little Planner,Too Faced Best Year Ever Paper Palettes,Too Faced Best Year Ever Paper Palettes,Too Faced Best Year Ever Paper Palettes,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Too Faced Unicorn Survival Kit Mystical & Lip Highlighter Set,Razzle Dazzle Berry,Sparkling Pineapple,Fruit Cocktail Blush Duo - Cherry Bomb,Fruit Cocktail Blush Duo - Apricot in the Act,Fruit Coctail Blush Duo - Plumagranate,Fruit Cocktail Blush Duo - StrobeBerry,Pineapple Paradise Bronzer,It's Bananas Setting Powder,Festive Fun Bubble Spiner,FETISH BLUSH + HIGHLIGHTER PALETTE,FETISH BLUSH + HIGHLIGHTER PALETTE,Rudolph Jelly Face Mask,PRO FILT'R INSTANT RETOUCH SETTING POWDER,PRO FILT'R INSTANT RETOUCH CONCEALER,Chick Fun Egg,Bunny Fun Egg,Brontosaurus Fun Egg,Stegosaurus Fun Egg,Volcano,Creamfoil Eyeshadow,Pro Filt•À_r Hydrating Longwear Foundation,Pro Filt•À_r Hydrating Primer,True Portrait Liquid-to-Powder Foundation,Lolita Por Vida Eyeshadow Palette"
46,Di-n-butyl phthalate (DBP),,,"Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products","Nail Color,Nail Color,Nail Color,Nail Color,Nail Color,Nail Color,Nail Color,Nail Color,Nail Color,Nail Color,Nail Color,Nail Color,Nail Color,Vernis •À_ ongles / Nail Enamel,LES BASIQUES LAQUE S•À_CHE-VITE,LES BASIQUES BASE ADH•À_SIVE,Nail Art Decoration Kit"
47,Dichloroacetic acid,,,"Hair Care Products (non-coloring),Hair Care Products (non-coloring),Skin Care Products ,Hair Care Products (non-coloring)","Hydrate Shampoo,Hydrate Shampoo,Facial Pore Tightening,Moisturizing Shampoo"
48,Dichloromethane (Methylene chloride),,,"Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring)","Hydrate Shampoo,Hydrate Shampoo,Hydrate Conditioner,Hydrate Conditioner,Curl Lock Conditioner,Interrupt Texturizing Clay,Texturizing Clay,Intensity Conditioning Treatment"
49,Diethanolamides of the fatty acids of coconut oil,,,Skin Care Products ,Barrier Fix Daily Hydrator
50,Diethanolamine,,,"Personal Care Products,Personal Care Products,Personal Care Products,Personal Care Products,Personal Care Products,Personal Care Products,Skin Care Products ,Skin Care Products ,Personal Care Products,Personal Care Products,Personal Care Products,Personal Care Products,Personal Care Products,Personal Care Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Shaving Products,Hair Care Products (non-coloring),Personal Care Products,Skin Care Products ,Bath Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Bath Products,Makeup Products (non-permanent),Personal Care Products,Personal Care Products,Personal Care Products,Personal Care Products,Personal Care Products,Bath Products,Personal Care Products,Skin Care Products ,Hair Coloring Products","Carex•À_ 3000 Green•À_ Liquid Soap - General Purpose,Carex•À_ Antimicrobial Cleanser,Georgia-Pacific Lotion Soap,Handi-Fresh•À_Liquid Antimicrobial Soap,Carex•À_ Lotion Cleanser,Cormatic•À_/Ultima•À_ Gold AM•À_ Antimicrobial Hand Soap -,Pacific Garden•À_ Body Wash and Shampoo,Pacific Garden•À_ General Purpose Lotion Soap,enMotion•À_ Antimicrobial Foam Soap with Moisturizers, DF, FF,enMotion•À_ Antimicrobial Foam Soap with Moisturizers, Tranquil Aloe,Pacific Garden•À_ Foam Antimicrobial Soap, DF, FF,Pacific Garden•À_ Foam Antimicrobial Soap, Pacific Citrus•À_,enMotion•À_ Foam Hand Sanitizer with Moisturizers, FF,Pacific Garden•À_ Foam Hand Sanitizer, DF, FF,LiceMD Shampoo,Sculpting Mud,Molding Glue,Clean Shave Hydrating Gel Cream,Shampoo,One-Step Body Bath Concentrate,One-Step Body Bath Concentrate,One-Step Body Bath Concentrate,Shampoo/Conditioner Total Body,Shampoo/Conditioner Total Body,Shampoo/Conditioner Total Body,Underglo Makeup Cream,WhiskLotion 157,WhiskPower 270,WhiskLotion 105,WhiskLotion 115,WhiskCare 367,WhiskLotion 177,WhiskLotion 177,Recovery Creme,Color Charm Demi Permenant"
51,Distillates (coal tar),,,Hair Care Products (non-coloring),Glover's Medicated Shampoo
